long,lat,group,order,region,subregion,avgvac
-95.75270844,31.53559875,2492,74520,texas,anderson,0.967679732
-95.76988983,31.55851746,2492,74521,texas,anderson,0.967679732
-95.76416016,31.58143234,2492,74522,texas,anderson,0.967679732
-95.72978973,31.58143234,2492,74523,texas,anderson,0.967679732
-95.74697876,31.61008072,2492,74524,texas,anderson,0.967679732
-95.72405243,31.638731,2492,74525,texas,anderson,0.967679732
-95.75270844,31.67310715,2492,74526,texas,anderson,0.967679732
-95.76988983,31.66737556,2492,74527,texas,anderson,0.967679732
-95.77562714,31.63299942,2492,74528,texas,anderson,0.967679732
-95.79854584,31.638731,2492,74529,texas,anderson,0.967679732
-95.80999756,31.67310715,2492,74530,texas,anderson,0.967679732
-95.79281616,31.71321297,2492,74531,texas,anderson,0.967679732
-95.82146454,31.70748329,2492,74532,texas,anderson,0.967679732
-95.87876129,31.71321297,2492,74533,texas,anderson,0.967679732
-95.87876129,31.75332069,2492,74534,texas,anderson,0.967679732
-95.91886902,31.78196907,2492,74535,texas,anderson,0.967679732
-95.94750977,31.78196907,2492,74536,texas,anderson,0.967679732
-95.98761749,31.80488777,2492,74537,texas,anderson,0.967679732
-95.98188782,31.83926582,2492,74538,texas,anderson,0.967679732
-95.99907684,31.86218452,2492,74539,texas,anderson,0.967679732
-95.98188782,31.88510323,2492,74540,texas,anderson,0.967679732
-96.02199554,31.88510323,2492,74541,texas,anderson,0.967679732
-96.0334549,31.90229034,2492,74542,texas,anderson,0.967679732
-96.01053619,31.93666649,2492,74543,texas,anderson,0.967679732
-96.02199554,31.94812775,2492,74544,texas,anderson,0.967679732
-96.07356262,31.95958519,2492,74545,texas,anderson,0.967679732
-96.06783295,31.99396133,2492,74546,texas,anderson,0.967679732
-96.06210327,32.01688004,2492,74547,texas,anderson,0.967679732
-95.44903564,32.09709549,2492,74548,texas,anderson,0.967679732
-95.44330597,32.0741806,2492,74549,texas,anderson,0.967679732
-95.44330597,32.0283432,2492,74550,texas,anderson,0.967679732
-95.45477295,31.98250389,2492,74551,texas,anderson,0.967679732
-95.43184662,31.95385551,2492,74552,texas,anderson,0.967679732
-95.43757629,31.87364197,2492,74553,texas,anderson,0.967679732
-95.40893555,31.8449955,2492,74554,texas,anderson,0.967679732
-95.39173889,31.78769684,2492,74555,texas,anderson,0.967679732
-95.35163116,31.74186325,2492,74556,texas,anderson,0.967679732
-95.30007172,31.72467232,2492,74557,texas,anderson,0.967679732
-95.29434204,31.67310715,2492,74558,texas,anderson,0.967679732
-95.26569366,31.6158123,2492,74559,texas,anderson,0.967679732
-95.75270844,31.53559875,2492,74560,texas,anderson,0.967679732
-102.2042084,32.08563614,2493,74562,texas,andrews,0.971533517
-102.2786942,32.08563614,2493,74563,texas,andrews,0.971533517
-102.8115463,32.0741806,2493,74564,texas,andrews,0.971533517
-103.0751114,32.0741806,2493,74565,texas,andrews,0.971533517
-103.0751114,32.50962448,2493,74566,texas,andrews,0.971533517
-102.2099457,32.52108383,2493,74567,texas,andrews,0.971533517
-102.2042084,32.08563614,2493,74568,texas,andrews,0.971533517
-94.13123322,31.12306786,2494,74570,texas,angelina,0.969315031
-94.45782471,31.05431175,2494,74571,texas,angelina,0.969315031
-94.56668854,31.08296204,2494,74572,texas,angelina,0.969315031
-94.84170532,31.16890526,2494,74573,texas,angelina,0.969315031
-94.8703537,31.23192787,2494,74574,texas,angelina,0.969315031
-94.8703537,31.26630783,2494,74575,texas,angelina,0.969315031
-94.90472412,31.28922653,2494,74576,texas,angelina,0.969315031
-94.88181305,31.317873,2494,74577,texas,angelina,0.969315031
